"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"4035",645377,645377,743476,1974,NA,2,3,0,3,NA,NA,NA,1589,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2829,"Thornton","","Ln","","","2829 Thornton Ln","Indianapolis","IN",46268,"","Residential","SingleFamily","",39.919244,-86.211042,NA,NA,7797,0.179,"",NA,NA,NA,"",NA,NA,107400,NA,NA,NA,NA,2016-06-03,114000,"","",NA,NA,NA
"4036",645378,645378,743477,1976,NA,4,3,0,3,NA,NA,NA,2539,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",9221,"Grinnell","","St","","","9221 Grinnell St","Indianapolis","IN",46268,"","Residential","SingleFamily","",39.921178,-86.210279,NA,NA,16160,0.371,"",NA,NA,NA,"",NA,NA,178200,NA,NA,NA,NA,2016-08-26,175500,"","",NA,NA,NA
"4039",645381,645381,743480,1980,NA,2,1.5,1,1,NA,NA,NA,1334,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2652,"Chaseway","","Ct","","","2652 Chaseway Ct","Indianapolis","IN",46268,"","Residential","SingleFamily","",39.926165,-86.208246,NA,NA,4181,0.096,"",NA,NA,NA,"",NA,NA,85300,NA,NA,NA,NA,2016-06-17,87500,"","",NA,NA,NA
"4046",645388,645388,743487,1986,NA,3,2,0,2,NA,NA,NA,1168,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3713,"Oil Creek","","Dr","","","3713 Oil Creek Dr","Indianapolis","IN",46268,"","Residential","SingleFamily","",39.902027,-86.22443,NA,NA,10149,0.233,"",NA,NA,NA,"",NA,NA,98300,NA,NA,NA,NA,2016-09-16,114900,"","",NA,NA,NA
"4049",645391,645391,743490,1986,NA,2,2,0,2,NA,NA,NA,1544,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",9116,"Point","W","Dr","","","9116 W Point Dr","Indianapolis","IN",46268,"","Residential","SingleFamily","",39.919237,-86.217802,NA,NA,7274,0.167,"",NA,NA,NA,"",NA,NA,154500,NA,NA,NA,NA,2016-04-27,150000,"","",NA,NA,NA
"4060",646898,646898,745049,1953,NA,4,3,0,3,NA,NA,NA,4472,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7201,"Illinois","N","St","","","7201 N Illinois St","Indianapolis","IN",46260,"","Residential","SingleFamily","",39.88519,-86.159847,NA,NA,43560,1,"",NA,NA,NA,"",NA,NA,417900,NA,NA,NA,NA,2016-09-14,365000,"","",NA,NA,NA
"4062",646900,646900,745051,1948,NA,3,NA,NA,NA,NA,NA,NA,1815,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",52,"Kessler Boulevard","EAST","Dr","","","52 Kessler Boulevard East Dr","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.863438,-86.155279,NA,NA,9675,0.2221,"",NA,NA,NA,"",NA,NA,228100,NA,NA,NA,NA,2016-06-27,252400,"","",NA,NA,NA
"4063",646901,646901,745052,1949,NA,4,3,0,3,NA,NA,NA,5337,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5933,"Meridian","N","St","","","5933 N Meridian St","Indianapolis","IN",46208,"","Residential","SingleFamily","",39.862212,-86.156895,NA,NA,17946,0.412,"",NA,NA,NA,"",NA,NA,183100,NA,NA,NA,NA,2016-06-10,225000,"","",NA,NA,NA
"4064",646902,646902,745053,1954,NA,2,1,0,1,NA,NA,NA,2174,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",39,"Highland Manor","N","Ct","","","39 Highland Manor Ct N","Indianapolis","IN",46228,"","Residential","SingleFamily","",39.855582,-86.176198,NA,NA,40502,0.9298,"",NA,NA,NA,"",NA,NA,210000,NA,NA,NA,NA,2016-01-04,235000,"","",NA,NA,NA
"4066",646904,646904,745055,1950,NA,3,2,0,2,NA,NA,NA,3894,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5672,"Illinois","N","St","","","5672 N Illinois St","Indianapolis","IN",46208,"","Residential","SingleFamily","",39.8583,-86.159993,NA,NA,18730,0.43,"",NA,NA,NA,"",NA,NA,190400,NA,NA,NA,NA,2016-07-01,305000,"","",NA,NA,NA
"4067",647239,647239,745403,1971,NA,4,2.5,1,2,NA,NA,NA,2198,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",740,"Valley View","W","Dr","","","740 W Valley View Dr","Indianapolis","IN",46217,"","Residential","SingleFamily","",39.647843,-86.174193,NA,NA,13024,0.299,"",NA,NA,NA,"",NA,NA,141800,NA,NA,NA,NA,2016-08-19,146000,"","",NA,NA,NA
"4070",648309,648309,746520,1992,NA,4,3,0,3,NA,NA,NA,3164,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6801,"Antelope","","Blvd","","","6801 Antelope Blvd","Indianapolis","IN",46278,"","Residential","SingleFamily","",39.875773,-86.280756,NA,NA,10890,0.25,"",NA,NA,NA,"",NA,NA,174400,NA,NA,NA,NA,2016-11-09,194000,"","",NA,NA,NA
"4071",648310,648310,746521,1993,NA,4,1.5,1,1,NA,NA,NA,2175,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6816,"Antelope","","Dr","","","6816 Antelope Dr","Indianapolis","IN",46278,"","Residential","SingleFamily","",39.875413,-86.281021,NA,NA,7318,0.168,"",NA,NA,NA,"",NA,NA,148700,NA,NA,NA,NA,2016-08-22,170000,"","",NA,NA,NA
"4075",649670,649670,747933,1956,NA,3,1,0,1,NA,NA,NA,1858,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6931,"Munsee","","Ln","","","6931 Munsee Ln","Indianapolis","IN",46260,"","Residential","SingleFamily","",39.880726,-86.179877,NA,NA,19950,0.458,"",NA,NA,NA,"",NA,NA,158300,NA,NA,NA,NA,2016-09-09,195000,"","",NA,NA,NA
"4077",651181,651181,749493,1961,NA,3,1.5,1,1,NA,NA,NA,1620,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6934,"Apollo","","Way","","","6934 Apollo Way","Indianapolis","IN",46278,"","Residential","SingleFamily","",39.880231,-86.264325,NA,NA,20037,0.46,"",NA,NA,NA,"",NA,NA,90900,NA,NA,NA,NA,2016-06-10,107900,"","",NA,NA,NA
"4080",652707,652707,751057,1995,NA,3,2.5,1,2,NA,NA,NA,2670,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7027,"Hollingsworth","","Dr","","","7027 Hollingsworth Dr","Indianapolis","IN",46268,"","Residential","SingleFamily","",39.881905,-86.219532,NA,NA,12636,0.2901,"",NA,NA,NA,"",NA,NA,133800,NA,NA,NA,NA,2016-10-04,192500,"","",NA,NA,NA
"4082",653418,653418,751813,1926,NA,2,1,0,1,NA,NA,NA,1200,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3224,"Mooresville","W","Rd","","","3224 W Mooresville Rd","Indianapolis","IN",46221,"","Residential","SingleFamily","",39.717871,-86.222704,NA,NA,5227,0.12,"",NA,NA,NA,"",NA,NA,47600,NA,NA,NA,NA,2016-04-14,52500,"","",NA,NA,NA
"4083",653419,653419,751814,1940,NA,2,1,0,1,NA,NA,NA,702,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2725,"Lockburn","S","St","","","2725 S Lockburn St","Indianapolis","IN",46241,"","Residential","SingleFamily","",39.725329,-86.227168,NA,NA,5183,0.119,"",NA,NA,NA,"",NA,NA,40800,NA,NA,NA,NA,2016-06-07,35000,"","",NA,NA,NA
"4085",653421,653421,751816,1961,NA,2,1,0,1,NA,NA,NA,768,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2723,"Mars Hill","","St","","","2723 Mars Hill St","Indianapolis","IN",46241,"","Residential","SingleFamily","",39.725432,-86.228325,NA,NA,5183,0.119,"",NA,NA,NA,"",NA,NA,40300,NA,NA,NA,NA,2016-06-15,44900,"","",NA,NA,NA
"4088",653442,653442,751839,1957,NA,3,1,0,1,NA,NA,NA,1316,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3430,"Davis","","Dr","","","3430 Davis Dr","Indianapolis","IN",46221,"","Residential","SingleFamily","",39.714782,-86.224116,NA,NA,16117,0.37,"",NA,NA,NA,"",NA,NA,48900,NA,NA,NA,NA,2016-06-29,70000,"","",NA,NA,NA
"4095",654850,654850,753318,1994,NA,4,3,0,3,NA,NA,NA,3983,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6422,"Calais","","Dr","","","6422 Calais Dr","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.865123,-86.056713,NA,NA,12632,0.29,"",NA,NA,NA,"",NA,NA,406400,NA,NA,NA,NA,2016-08-30,435000,"","",NA,NA,NA
"4096",654851,654851,753319,1989,NA,NA,1.5,1,1,NA,NA,NA,3050,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5774,"Fall Creek Parkway North","E","Dr","","","5774 E Fall Creek Parkway North Dr","Indianapolis","IN",46226,"","Residential","SingleFamily","",39.860908,-86.074834,NA,NA,22216,0.51,"",NA,NA,NA,"",NA,NA,453600,NA,NA,NA,NA,2016-10-07,525000,"","",NA,NA,NA
"4097",654852,654852,753320,1990,NA,NA,1.5,1,1,NA,NA,NA,2988,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5872,"Lake Kessler","","Ct","","","5872 Lake Kessler Ct","Indianapolis","IN",46226,"","Residential","SingleFamily","",39.86205,-86.07467,NA,NA,23043,0.529,"",NA,NA,NA,"",NA,NA,461000,NA,NA,NA,NA,2016-07-15,440000,"","",NA,NA,NA
"4099",654854,654854,753322,1961,NA,3,2.5,1,2,NA,NA,NA,3524,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6218,"Green Leaves","","Rd","","","6218 Green Leaves Rd","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.869302,-86.075824,NA,NA,15246,0.35,"",NA,NA,NA,"",NA,NA,189200,NA,NA,NA,NA,2016-06-22,225000,"","",NA,NA,NA
"4101",654882,654882,753350,1965,NA,4,3,0,3,1,NA,1,3970,782,550,NA,NA,"Central","","Single Family",NA,"Average","Stone/rock",1,"Masonry",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"","","","",6260,"Avalon Ln","E","Dr","","","6260 Avalon Ln E Dr","Indianapolis","IN",46220,"","Residential","Single Family Residence / Townhouse","49-02-34-110-009.000-400",39.870338,-86.056715,NA,NA,24350,0.559,"17",34,NA,NA,"",0,0,301300,NA,0,2015,NA,2016-04-05,262500,"","",NA,NA,NA
"4102",654922,654922,753391,1951,NA,2,1,0,1,NA,NA,NA,1560,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1128,"Murry","E","St","","","1128 E Murry St","Indianapolis","IN",46227,"","Residential","SingleFamily","",39.719022,-86.138035,NA,NA,11325,0.26,"",NA,NA,NA,"",NA,NA,58700,NA,NA,NA,NA,2016-07-22,46000,"","",NA,NA,NA
"4107",656377,656377,754908,1968,NA,4,3,0,3,NA,NA,NA,3397,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7045,"Burnham","","Cir","","","7045 Burnham Cir","Indianapolis","IN",46256,"","Residential","SingleFamily","",39.878409,-86.044273,NA,NA,16901,0.388,"",NA,NA,NA,"",NA,NA,209400,NA,NA,NA,NA,2016-01-10,180000,"","",NA,NA,NA
"4108",656378,656378,754909,1972,NA,6,5,0,5,NA,NA,NA,3600,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7110,"Eastwick","","Ln","","","7110 Eastwick Ln","Indianapolis","IN",46256,"","Residential","SingleFamily","",39.88177,-86.043776,NA,NA,15246,0.35,"",NA,NA,NA,"",NA,NA,271700,NA,NA,NA,NA,2016-07-22,289000,"","",NA,NA,NA
"4111",657480,657480,756067,1996,NA,3,2,0,2,NA,NA,NA,1230,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6446,"Blakeview","","Dr","","","6446 Blakeview Dr","Indianapolis","IN",46235,"","Residential","SingleFamily","",39.876294,-85.950322,NA,NA,8276,0.19,"",NA,NA,NA,"",NA,NA,103200,NA,NA,NA,NA,2016-02-16,110000,"","",NA,NA,NA
"4112",657481,657481,756068,1997,NA,3,2,0,2,NA,NA,NA,1230,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",12223,"Meadowfield","","Cir","","","12223 Meadowfield Cir","Indianapolis","IN",46235,"","Residential","SingleFamily","",39.874077,-85.94901,NA,NA,6490,0.149,"",NA,NA,NA,"",NA,NA,101100,NA,NA,NA,NA,2016-06-30,117000,"","",NA,NA,NA
"4113",657482,657482,756069,2003,NA,3,2,0,2,NA,NA,NA,1564,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",12316,"Rose Haven","","Dr","","","12316 Rose Haven Dr","Indianapolis","IN",46235,"","Residential","SingleFamily","",39.873999,-85.947347,NA,NA,9757,0.224,"",NA,NA,NA,"",NA,NA,99900,NA,NA,NA,NA,2016-08-17,127000,"","",NA,NA,NA
"4121",657490,657490,756077,1978,NA,4,2.5,1,2,NA,NA,NA,1986,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2701,"Fairhaven","","Dr","","","2701 Fairhaven Dr","Indianapolis","IN",46229,"","Residential","SingleFamily","",39.80721,-85.98519,NA,NA,8712,0.2,"",NA,NA,NA,"",NA,NA,82000,NA,NA,NA,NA,2016-08-01,105000,"","",NA,NA,NA
"4122",657491,657491,756078,1978,NA,4,2,0,2,NA,NA,NA,1588,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2608,"Fairhaven","","Dr","","","2608 Fairhaven Dr","Indianapolis","IN",46229,"","Residential","SingleFamily","",39.805913,-85.98575,NA,NA,9583,0.22,"",NA,NA,NA,"",NA,NA,77500,NA,NA,NA,NA,2016-06-06,74608,"","",NA,NA,NA
"4125",657788,657788,756382,1981,NA,2,1.5,1,1,NA,NA,NA,1334,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2579,"Chaseway","","Ct","","","2579 Chaseway Ct","Indianapolis","IN",46268,"","Residential","Condominium","",39.925734,-86.206814,NA,NA,2239,0.0514,"",NA,NA,NA,"",NA,NA,75000,NA,NA,NA,NA,2016-08-31,93900,"","",NA,NA,NA
"4126",657789,657789,756383,1981,NA,1,NA,NA,NA,NA,NA,NA,1334,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2623,"Chaseway","","Ct","","","2623 Chaseway Ct","Indianapolis","IN",46268,"","Residential","Condominium","",39.925613,-86.207137,NA,NA,2653,0.0609,"",NA,NA,NA,"",NA,NA,77200,NA,NA,NA,NA,2016-05-26,80000,"","",NA,NA,NA
"4127",657790,657790,756384,1981,NA,2,1.5,1,1,NA,NA,NA,1334,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2611,"Fox Valley","","Pl","","","2611 Fox Valley Pl","Indianapolis","IN",46268,"","Residential","Condominium","",39.924717,-86.2072,NA,NA,3685,0.0846,"",NA,NA,NA,"",NA,NA,82600,NA,NA,NA,NA,2016-08-16,80000,"","",NA,NA,NA
"4128",657791,657791,756385,1981,NA,2,1.5,1,1,NA,NA,NA,1334,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2635,"Fox Valley","","Pl","","","2635 Fox Valley Pl","Indianapolis","IN",46268,"","Residential","Condominium","",39.925055,-86.207616,NA,NA,2866,0.0658,"",NA,NA,NA,"",NA,NA,78300,NA,NA,NA,NA,2016-06-15,78900,"","",NA,NA,NA
"4129",657792,657792,756386,1971,NA,2,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2128,"Boston","","Ct","Apt","C","2128 Boston Ct APT C","Indianapolis","IN",46228,"","Residential","Condominium","",39.825746,-86.19832,NA,NA,1362,0.0313,"",NA,NA,NA,"",NA,NA,58800,NA,NA,NA,NA,2016-05-23,67500,"","",NA,NA,NA
"4130",657793,657793,756387,1971,NA,2,2,0,2,NA,NA,NA,1362,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2151,"Boston","","Ct","Apt","D","2151 Boston Ct APT D","Indianapolis","IN",46228,"","Residential","Condominium","",39.824783,-86.199495,NA,NA,3855,0.0885,"",NA,NA,NA,"",NA,NA,65900,NA,NA,NA,NA,2016-07-14,66000,"","",NA,NA,NA
"4131",657795,657795,756389,2004,NA,2,1.5,1,1,NA,NA,NA,1440,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3065,"Armory","","Dr","","","3065 Armory Dr","Indianapolis","IN",46208,"","Residential","Condominium","",39.810785,-86.192397,NA,NA,2291,0.0526,"",NA,NA,NA,"",NA,NA,105600,NA,NA,NA,NA,2016-08-12,77500,"","",NA,NA,NA
"4132",657797,657797,756391,1965,NA,2,2,0,2,NA,NA,NA,1161,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3965,"Meridian","N","St","","","3965 N Meridian St","Indianapolis","IN",46208,"","Residential","Condominium","",39.828174,-86.156208,NA,NA,1306,0.03,"",NA,NA,NA,"",NA,NA,522500,NA,NA,NA,NA,2016-06-14,88000,"","",NA,NA,NA
"4133",657798,657798,756392,1939,NA,2,2,0,2,NA,NA,NA,1250,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5219,"College","N","Ave","Apt","704","5219 N College Ave APT 704","Indianapolis","IN",46220,"","Residential","Condominium","",39.847873,-86.145317,NA,NA,1141,0.0262,"",NA,NA,NA,"",NA,NA,120500,NA,NA,NA,NA,2016-06-30,130000,"","",NA,NA,NA
"4136",657801,657801,756395,1981,NA,2,2,0,2,NA,NA,NA,1180,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",9103,"Cinnebar","","Dr","","","9103 Cinnebar Dr","Indianapolis","IN",46268,"","Residential","Condominium","",39.919415,-86.20408,NA,NA,8673,0.1991,"",NA,NA,NA,"",NA,NA,77500,NA,NA,NA,NA,2016-04-08,78500,"","",NA,NA,NA
"4137",657802,657802,756396,1981,NA,2,1.5,1,1,NA,NA,NA,1180,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",9144,"Cinnebar","","Dr","","","9144 Cinnebar Dr","Indianapolis","IN",46268,"","Residential","Condominium","",39.919873,-86.205155,NA,NA,8672,0.1991,"",NA,NA,NA,"",NA,NA,69500,NA,NA,NA,NA,2016-08-30,82900,"","",NA,NA,NA
