"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"2",284,284,18839,1958,8,3,2,0,2,1,NA,1,3476,1738,616,NA,NA,"Central","","Single Family",NA,"Average","Brick",NA,"",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","","",4616,"Orlando","","Ct","","","4616 Orlando Ct","Indianapolis","IN",46228,"","Residential","Single Family Residence / Townhouse","49-06-09-110-028.000-800",39.83926,-86.20712,179,108,19153,0.4397,"16",9,NA,NA,"",23700,121900,145600,NA,1310,2015,NA,2016-07-15,153713,"Grant Deed","MOORE-FOSTER LOLLIE L",NA,NA,NA
"53",5333,5333,75378,1956,6,3,1,0,1,1,NA,1,952,NA,418,NA,NA,"","","Single Family",NA,"Average","Wood",NA,"",NA,NA,"Detached","Warm Air",NA,NA,"Detached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",3719,"Whittier","N","Pl","","","3719 N Whittier Pl","Indianapolis","IN",46218,"","Residential","SingleFamily","49-07-22-110-252.000-701",39.824628,-86.07463,207,25,5183,0.119,"16",22,NA,NA,"",0,0,43300,NA,0,2015,NA,2016-03-07,36692,"Grant Deed","BROOKS JOYCE S",NA,NA,NA
"59",5640,5640,75716,1930,5,2,1,0,1,1,NA,1,960,960,576,NA,NA,"","","Single Family",NA,"Average","Wood",NA,"",NA,NA,"Detached","Warm Air",NA,NA,"Detached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",5413,"Greenfield","","Ave","","","5413 Greenfield Ave","Indianapolis","IN",46219,"","Residential","SingleFamily","49-10-10-183-020.000-701",39.761308,-86.076267,143,42,6011,0.138,"15",10,NA,NA,"",21000,40200,61200,NA,1348,2015,NA,2016-04-20,38438,"Grant Deed","LAWSON WEALTH SOLUTIONS LLC",NA,NA,NA
"79",9101,9101,79684,2008,NA,4,3,0,3,0,NA,1,3672,990,548,NA,NA,"Central","Finished","Single Family",NA,"Average","Masonry",1,"Steel",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"","","","",7542,"Ockley","","Ln","","","7542 Ockley Ln","Indianapolis","IN",46259,"ZO01","Residential","SingleFamily","49-16-18-117-004.000-300",39.658302,-86.020912,NA,NA,12196,0.28,"",NA,NA,NA,"",35000,224400,259400,NA,2594,2015,NA,2016-03-08,258716,"Grant Deed","AMERICAN INTL RELOCATION SOLU",NA,NA,NA
"136",20000,20000,91925,1989,NA,3,4,0,4,2,NA,1,2712,904,200,NA,NA,"Central","","Single Family",NA,"Average","Wood",NA,"",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",629,"Arch","E","St","","","629 E Arch St","Indianapolis","IN",46202,"","Residential","SingleFamily","49-11-01-232-003.000-101",39.778093,-86.146797,60,30,1742,0.04,"15",1,NA,NA,"",38400,288400,326800,NA,3620,2015,NA,2016-06-30,470250,"Grant Deed","MENYHART RUSSELL C",NA,NA,NA
"148",21974,21974,94186,1940,6,2,2,0,2,1,NA,1,1944,972,250,NA,NA,"","","Single Family",NA,"Average","Wood",NA,"",NA,NA,"Basement","Warm Air",NA,NA,"Basement Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",24,"Bankers","","Ln","","","24 Bankers Ln","Indianapolis","IN",46201,"","Residential","SingleFamily","49-10-04-136-006.000-101",39.768954,-86.089867,103,50,4791,0.11,"15",4,NA,NA,"",9200,56200,65400,NA,409,2015,NA,2016-07-08,62500,"Grant Deed","BARBER JEFF A",NA,NA,NA
"196",32877,32877,106432,1990,NA,3,2,0,2,1,NA,1,1204,NA,400,NA,NA,"Central","","Single Family",NA,"Average","Wood",NA,"",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",9206,"Ratcliff","","Court","","","9206 Ratcliff Court","Indianapolis","IN",46234,"","Residential","Single Family Residence / Townhouse","49-05-21-104-012.000-900",39.822167,-86.324923,83,100,8320,0.191,"16",21,NA,NA,"Extra Front",20100,73000,93100,NA,2188,2015,NA,2016-01-29,108000,"Grant Deed","SYNERGY VENTURE GROUP LLC",NA,NA,NA
"199",35011,35011,108743,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2001,"Tibbs","S","Ave","","","2001 S Tibbs Ave","Indianapolis","IN",46241,"ZO01","Vacant","Vacant","49-11-16-110-039.000-970",39.7387,-86.21387,NA,NA,846371,19.43,"15",16,NA,NA,"Restrictions",552000,0,552000,NA,16560,2014,NA,2016-06-08,782500,"Grant Deed","ROLLS-ROYCE CORP",NA,NA,NA
"200",40104,40104,114211,2002,NA,4,3,0,3,NA,NA,NA,3132,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8240,"Thorn Bend","","Dr","","","8240 Thorn Bend Dr","Indianapolis","IN",46278,"","","SingleFamily","",39.922218,-86.308825,NA,NA,20473,0.47,"",NA,NA,NA,"",NA,NA,287100,NA,NA,NA,NA,2016-04-09,299000,"","",NA,NA,NA
"203",40455,40455,114601,1973,NA,2,2,0,2,NA,NA,NA,1088,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2646,"Country Estates","","Dr","","","2646 Country Estates Dr","Indianapolis","IN",46227,"","","Condominium","",39.638924,-86.116633,NA,NA,436,0.01,"",NA,NA,NA,"",NA,NA,41400,NA,NA,NA,NA,2016-07-29,55000,"","",NA,NA,NA
"206",40458,40458,114604,1975,NA,2,1.5,1,1,NA,NA,NA,1152,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7398,"Meridian","S","St","","","7398 S Meridian St","Indianapolis","IN",46217,"","","Condominium","",39.658379,-86.158931,NA,NA,436,0.01,"",NA,NA,NA,"",NA,NA,73000,NA,NA,NA,NA,2016-08-05,54500,"","",NA,NA,NA
"208",40460,40460,114606,1978,NA,4,1.5,1,1,NA,NA,NA,1445,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3502,"Winchester","","Dr","","","3502 Winchester Dr","Indianapolis","IN",46227,"","","Condominium","",39.650163,-86.10609,NA,NA,2039,0.0468,"",NA,NA,NA,"",NA,NA,76000,NA,NA,NA,NA,2016-08-17,68000,"","",NA,NA,NA
"209",40461,40461,114607,1984,7,3,1,0,1,1,NA,1,920,NA,240,NA,NA,"Central","","Single Family",NA,"Average","Wood",NA,"",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",8016,"Bryan","","Dr","","","8016 Bryan Dr","Indianapolis","IN",46227,"","Residential","Condominium (residential)","49-15-20-127-064.000-500",39.648712,-86.105623,NA,NA,2039,0.0468,"14",20,NA,NA,"",9100,53200,62300,NA,391,2015,NA,2016-01-29,55795,"Grant Deed","POTOCNY MELANIE L",NA,NA,NA
"219",40588,40588,114737,1989,NA,3,2,0,2,NA,NA,NA,1485,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8946,"Chessie","","Dr","","","8946 Chessie Dr","Indianapolis","IN",46217,"","","SingleFamily","",39.634937,-86.18192,NA,NA,17990,0.413,"",NA,NA,NA,"",NA,NA,128600,NA,NA,NA,NA,2016-07-11,145000,"","",NA,NA,NA
"238",44101,44101,118431,1941,NA,2,1,0,1,NA,NA,NA,864,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3426,"Temple","N","Ave","","","3426 N Temple Ave","Indianapolis","IN",46218,"","","SingleFamily","",39.818963,-86.118817,NA,NA,10018,0.23,"",NA,NA,NA,"",NA,NA,40800,NA,NA,NA,NA,2016-02-17,14900,"","",NA,NA,NA
"242",44105,44105,118435,1960,NA,3,2,0,2,NA,NA,NA,1222,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2860,"Schofield","","Ave","","","2860 Schofield Ave","Indianapolis","IN",46218,"","","SingleFamily","",39.808764,-86.130255,NA,NA,5270,0.121,"",NA,NA,NA,"",NA,NA,37800,NA,NA,NA,NA,2016-08-15,37500,"","",NA,NA,NA
"249",45015,45015,119418,1960,NA,3,2,0,2,NA,NA,NA,1595,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8135,"Richardt","N","Ave","","","8135 N Richardt Ave","Indianapolis","IN",46256,"","","SingleFamily","",39.903934,-86.035748,NA,NA,25264,0.58,"",NA,NA,NA,"",NA,NA,113700,NA,NA,NA,NA,2016-07-20,164900,"","",NA,NA,NA
"256",45022,45022,119425,1975,NA,3,2.5,1,2,NA,NA,NA,1934,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8235,"Picadilly","","Ln","","","8235 Picadilly Ln","Indianapolis","IN",46256,"","","SingleFamily","",39.907357,-86.018832,NA,NA,14810,0.34,"",NA,NA,NA,"",NA,NA,117400,NA,NA,NA,NA,2016-06-09,189000,"","",NA,NA,NA
"259",45291,45291,119706,1910,NA,3,1,0,1,NA,NA,NA,968,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2413,"Hovey","","St","","","2413 Hovey St","Indianapolis","IN",46218,"","","SingleFamily","",39.801896,-86.131837,NA,NA,4966,0.114,"",NA,NA,NA,"",NA,NA,38800,NA,NA,NA,NA,2016-02-01,48000,"","",NA,NA,NA
"278",53088,53088,127976,1973,NA,2,1,0,1,NA,NA,NA,966,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2794,"Paso Del Norte","","Dr","","","2794 Paso Del Norte Dr","Indianapolis","IN",46227,"","","Condominium","",39.645464,-86.115779,NA,NA,436,0.01,"",NA,NA,NA,"",NA,NA,40900,NA,NA,NA,NA,2016-07-08,37500,"","",NA,NA,NA
"281",53091,53091,127979,1995,NA,2,2,0,2,NA,NA,NA,1088,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",941,"Buffalo Run","","Way","","","941 Buffalo Run Way","Indianapolis","IN",46227,"","","Condominium","",39.642271,-86.141417,NA,NA,4021,0.0923,"",NA,NA,NA,"",NA,NA,93700,NA,NA,NA,NA,2016-04-29,112500,"","",NA,NA,NA
"283",53093,53093,127981,1996,NA,2,2,0,2,NA,NA,NA,1115,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7607,"Briarstone","","Dr","","","7607 Briarstone Dr","Indianapolis","IN",46227,"","","Condominium","",39.655848,-86.129741,NA,NA,1742,0.04,"",NA,NA,NA,"",NA,NA,108300,NA,NA,NA,NA,2016-03-30,102000,"","",NA,NA,NA
"288",53098,53098,127986,2000,NA,2,2.5,1,2,NA,NA,NA,1576,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5836,"Shipwatch","","Pl","","","5836 Shipwatch Pl","Indianapolis","IN",46237,"","","Condominium","",39.651023,-86.066237,NA,NA,871,0.02,"",NA,NA,NA,"",NA,NA,81800,NA,NA,NA,NA,2016-05-27,102500,"","",NA,NA,NA
"289",53099,53099,127987,2000,NA,2,2.5,1,2,NA,NA,NA,1576,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5848,"Shipwatch","","Pl","","","5848 Shipwatch Pl","Indianapolis","IN",46237,"","","Condominium","",39.651026,-86.06594,NA,NA,871,0.02,"",NA,NA,NA,"",NA,NA,88200,NA,NA,NA,NA,2016-04-25,99750,"","",NA,NA,NA
"299",53161,53161,128051,1950,NA,3,3.5,1,3,NA,NA,NA,3076,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",206,"Arden","","Dr","","","206 Arden Dr","Indianapolis","IN",46220,"","","SingleFamily","",39.876521,-86.152626,NA,NA,12832,0.2946,"",NA,NA,NA,"",NA,NA,304700,NA,NA,NA,NA,2016-08-08,530000,"","",NA,NA,NA
"303",53165,53165,128055,1958,NA,3,2.5,1,2,NA,NA,NA,2612,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",430,"Golf","","Ln","","","430 Golf Ln","Indianapolis","IN",46260,"","","SingleFamily","",39.87796,-86.168779,NA,NA,24001,0.551,"",NA,NA,NA,"",NA,NA,177500,NA,NA,NA,NA,2016-05-02,230000,"","",NA,NA,NA
"314",53176,53176,128066,1957,NA,3,2.5,1,2,NA,NA,NA,2016,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6420,"Sunset","","Ln","","","6420 Sunset Ln","Indianapolis","IN",46260,"","","SingleFamily","",39.872744,-86.167215,NA,NA,24885,0.5713,"",NA,NA,NA,"",NA,NA,154200,NA,NA,NA,NA,2016-06-16,258000,"","",NA,NA,NA
"337",58019,58019,133083,1914,NA,3,1,0,1,NA,NA,NA,3578,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2358,"Capitol","N","Ave","","","2358 N Capitol Ave","Indianapolis","IN",46208,"","Residential","SingleFamily","",39.800644,-86.161693,NA,NA,6011,0.138,"",NA,NA,NA,"",NA,NA,48800,NA,NA,NA,NA,2016-06-10,34000,"","",NA,NA,NA
"351",59525,59525,134673,1928,NA,2,1,0,1,NA,NA,NA,768,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3814,"Aloda","","St","","","3814 Aloda St","Indianapolis","IN",46203,"","Residential","SingleFamily","",39.748387,-86.100626,NA,NA,4356,0.1,"",NA,NA,NA,"",NA,NA,42200,NA,NA,NA,NA,2016-07-29,64000,"","",NA,NA,NA
"354",59528,59528,134676,1940,NA,2,1,0,1,NA,NA,NA,1568,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3854,"Fletcher","","Ave","","","3854 Fletcher Ave","Indianapolis","IN",46203,"","Residential","SingleFamily","",39.758475,-86.099875,NA,NA,5314,0.122,"",NA,NA,NA,"",NA,NA,34100,NA,NA,NA,NA,2016-03-09,23010,"","",NA,NA,NA
"356",59530,59530,134678,1941,NA,2,1,0,1,NA,NA,NA,744,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",4021,"Southeastern","","Ave","","","4021 Southeastern Ave","Indianapolis","IN",46203,"","Residential","SingleFamily","",39.750105,-86.093844,NA,NA,10018,0.23,"",NA,NA,NA,"",NA,NA,42200,NA,NA,NA,NA,2016-01-15,34000,"","",NA,NA,NA
"359",59536,59536,134684,1910,NA,2,1,0,1,NA,NA,NA,1166,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1410,"Tuxedo","N","St","","","1410 N Tuxedo St","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.786928,-86.108757,NA,NA,6098,0.14,"",NA,NA,NA,"",NA,NA,13700,NA,NA,NA,NA,2016-05-31,55000,"","",NA,NA,NA
"362",59539,59539,134687,1926,NA,2,1.5,1,1,NA,NA,NA,1344,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2241,"Nowland","","Ave","","","2241 Nowland Ave","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.785879,-86.122755,NA,NA,3615,0.083,"",NA,NA,NA,"",NA,NA,49300,NA,NA,NA,NA,2016-05-31,65500,"","",NA,NA,NA
"367",59544,59544,134692,1900,NA,2,1,0,1,NA,NA,NA,884,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1215,"Sterling","","St","","","1215 Sterling St","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.783518,-86.127387,NA,NA,5270,0.121,"",NA,NA,NA,"",NA,NA,47300,NA,NA,NA,NA,2016-08-16,42500,"","",NA,NA,NA
"374",59551,59551,134699,1920,NA,2,1,0,1,NA,NA,NA,1930,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2838,"16th","E","St","","","2838 E 16th St","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.788979,-86.115258,NA,NA,4094,0.094,"",NA,NA,NA,"",NA,NA,41400,NA,NA,NA,NA,2016-05-17,33000,"","",NA,NA,NA
"382",62238,62238,137509,1978,NA,3,2,0,2,NA,NA,NA,1254,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7432,"Gordon","","Way","","","7432 Gordon Way","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.65954,-86.050008,NA,NA,13503,0.31,"",NA,NA,NA,"",NA,NA,102100,NA,NA,NA,NA,2016-03-22,126000,"","",NA,NA,NA
"384",62240,62240,137511,1978,NA,3,2,0,2,NA,NA,NA,1440,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7640,"Gordon","","Way","","","7640 Gordon Way","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.656421,-86.048448,NA,NA,13599,0.3122,"",NA,NA,NA,"",NA,NA,103400,NA,NA,NA,NA,2016-05-25,90000,"","",NA,NA,NA
"387",62243,62243,137514,1978,NA,3,2,0,2,NA,NA,NA,1158,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7639,"Inverness","","Dr","","","7639 Inverness Dr","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.656841,-86.049587,NA,NA,13503,0.31,"",NA,NA,NA,"",NA,NA,94400,NA,NA,NA,NA,2016-08-19,110000,"","",NA,NA,NA
"388",62244,62244,137515,1977,NA,5,3,0,3,NA,NA,NA,2640,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7615,"Inverness","","Dr","","","7615 Inverness Dr","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.657464,-86.050192,NA,NA,14278,0.3278,"",NA,NA,NA,"",NA,NA,131100,NA,NA,NA,NA,2016-07-29,138900,"","",NA,NA,NA
"390",62246,62246,137517,1978,NA,3,3,0,3,NA,NA,NA,1568,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7659,"Muirfield","","Ct","","","7659 Muirfield Ct","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.656217,-86.052533,NA,NA,10463,0.2402,"",NA,NA,NA,"",NA,NA,105500,NA,NA,NA,NA,2016-07-11,123000,"","",NA,NA,NA
"393",62249,62249,137520,1982,NA,4,2,0,2,NA,NA,NA,1384,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7739,"Inverness","","Dr","","","7739 Inverness Dr","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.655254,-86.0483,NA,NA,13299,0.3053,"",NA,NA,NA,"",NA,NA,93600,NA,NA,NA,NA,2016-07-01,123500,"","",NA,NA,NA
"394",62250,62250,137521,1983,NA,3,2,0,2,NA,NA,NA,1436,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7733,"Inverness","","Dr","","","7733 Inverness Dr","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.655421,-86.048427,NA,NA,13068,0.3,"",NA,NA,NA,"",NA,NA,90100,NA,NA,NA,NA,2016-06-10,114000,"","",NA,NA,NA
"408",62734,62734,138026,1961,NA,3,1.5,1,1,NA,NA,NA,1224,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8801,"10th","W","St","","","8801 W 10th St","Indianapolis","IN",46234,"","Residential","SingleFamily","",39.778406,-86.316914,NA,NA,24393,0.56,"",NA,NA,NA,"",NA,NA,95900,NA,NA,NA,NA,2016-06-12,84000,"","",NA,NA,NA
"410",62736,62736,138028,1968,NA,4,2.5,1,2,NA,NA,NA,2244,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",640,"Folcroft","","Ct","","","640 Folcroft Ct","Indianapolis","IN",46234,"","Residential","SingleFamily","",39.775067,-86.313179,NA,NA,12153,0.279,"",NA,NA,NA,"",NA,NA,135400,NA,NA,NA,NA,2016-07-14,160000,"","",NA,NA,NA
"411",62737,62737,138029,1968,NA,3,2,0,2,NA,NA,NA,2055,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",627,"Folcroft","","Ct","","","627 Folcroft Ct","Indianapolis","IN",46234,"","Residential","SingleFamily","",39.774449,-86.312576,NA,NA,13285,0.305,"",NA,NA,NA,"",NA,NA,139400,NA,NA,NA,NA,2016-05-17,160000,"","",NA,NA,NA
"416",62742,62742,138034,1975,NA,4,2,0,2,NA,NA,NA,1564,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8809,"Coronado","","Ct","","","8809 Coronado Ct","Indianapolis","IN",46234,"","Residential","SingleFamily","",39.764935,-86.31815,NA,NA,12109,0.278,"",NA,NA,NA,"",NA,NA,95200,NA,NA,NA,NA,2016-08-26,75000,"","",NA,NA,NA
"418",62744,62744,138036,1972,NA,3,NA,NA,NA,NA,NA,NA,980,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8923,"Coronado","","Ct","","","8923 Coronado Ct","Indianapolis","IN",46234,"","Residential","SingleFamily","",39.764908,-86.320647,NA,NA,12153,0.279,"",NA,NA,NA,"",NA,NA,67000,NA,NA,NA,NA,2016-08-04,84800,"","",NA,NA,NA
"429",63693,63693,139033,1924,NA,2,1,0,1,NA,NA,NA,876,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",954,"Rochester","N","Ave","","","954 N Rochester Ave","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.779334,-86.220985,NA,NA,13503,0.31,"",NA,NA,NA,"",NA,NA,44700,NA,NA,NA,NA,2016-01-27,26520,"","",NA,NA,NA
"431",63695,63695,139035,1905,NA,2,NA,NA,NA,NA,NA,NA,1040,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1115,"Centennial","N","St","","","1115 N Centennial St","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.782382,-86.213301,NA,NA,3877,0.089,"",NA,NA,NA,"",NA,NA,18300,NA,NA,NA,NA,2016-08-12,33000,"","",NA,NA,NA
"433",63697,63697,139037,1940,NA,4,3,0,3,NA,NA,NA,1779,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",960,"Somerset","N","Ave","","","960 N Somerset Ave","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.779795,-86.222142,NA,NA,4530,0.104,"",NA,NA,NA,"",NA,NA,28800,NA,NA,NA,NA,2016-08-05,52000,"","",NA,NA,NA
"434",63698,63698,139038,1905,NA,3,NA,NA,NA,NA,NA,NA,1196,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3324,"Michigan","W","St","","","3324 W Michigan St","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.774601,-86.214338,NA,NA,6011,0.138,"",NA,NA,NA,"",NA,NA,38700,NA,NA,NA,NA,2016-08-12,49900,"","",NA,NA,NA
"437",63701,63701,139041,1950,NA,2,1,0,1,NA,NA,NA,1388,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1019,"Exeter","N","Ave","","","1019 N Exeter Ave","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.781097,-86.219427,NA,NA,6316,0.145,"",NA,NA,NA,"",NA,NA,31800,NA,NA,NA,NA,2016-02-28,88500,"","",NA,NA,NA
"438",63702,63702,139042,1941,NA,3,1,0,1,NA,NA,NA,1080,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",435,"Exeter","N","Ave","","","435 N Exeter Ave","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.77327,-86.219267,NA,NA,5358,0.123,"",NA,NA,NA,"",NA,NA,35900,NA,NA,NA,NA,2016-07-08,55000,"","",NA,NA,NA
"440",63704,63704,139044,1948,NA,2,1,0,1,NA,NA,NA,1622,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1047,"Exeter","N","Ave","","","1047 N Exeter Ave","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.781918,-86.219438,NA,NA,11500,0.264,"",NA,NA,NA,"",NA,NA,74600,NA,NA,NA,NA,2016-04-22,74900,"","",NA,NA,NA
"441",63705,63705,139045,1941,NA,2,1,0,1,NA,NA,NA,1260,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1411,"Livingston","N","Ave","","","1411 N Livingston Ave","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.786109,-86.223408,NA,NA,4791,0.11,"",NA,NA,NA,"",NA,NA,44700,NA,NA,NA,NA,2016-07-18,27000,"","",NA,NA,NA
"442",63706,63706,139046,1950,NA,2,1,0,1,NA,NA,NA,1008,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3664,"11th","W","St","","","3664 W 11th St","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.78247,-86.222956,NA,NA,4791,0.11,"",NA,NA,NA,"",NA,NA,43500,NA,NA,NA,NA,2016-06-04,34710,"","",NA,NA,NA
