"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"1382",175271,175271,255179,1954,NA,NA,2.5,1,2,NA,NA,NA,2016,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,20434,"Oxley","","St","","","20434 Oxley St","Detroit","MI",48235,"","Residential","SingleFamily","",42.443149,-83.196261,NA,NA,6970,0.16,NA,NA,NA,NA,NA,NA,NA,68800,NA,NA,NA,NA,2016-05-11,36000,"","",NA,NA,NA
"1385",175274,175274,255182,1950,NA,3,1.5,1,1,NA,NA,NA,1761,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14247,"Vassar","","Ave","","","14247 Vassar Ave","Detroit","MI",48235,"","Residential","SingleFamily","",42.434031,-83.186198,NA,NA,5662,0.13,NA,NA,NA,NA,NA,NA,NA,57800,NA,NA,NA,NA,2016-02-08,60000,"","",NA,NA,NA
"1386",175275,175275,255183,1948,NA,4,1,0,1,NA,NA,NA,1087,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,20227,"Ardmore","","St","","","20227 Ardmore St","Detroit","MI",48235,"","Residential","SingleFamily","",42.442513,-83.185989,NA,NA,5227,0.12,NA,NA,NA,NA,NA,NA,NA,31200,NA,NA,NA,NA,2016-04-15,21900,"","",NA,NA,NA
"1387",175276,175276,255184,1946,NA,3,1.5,1,1,NA,NA,NA,1028,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,19939,"Freeland","","St","","","19939 Freeland St","Detroit","MI",48235,"","Residential","SingleFamily","",42.438776,-83.186967,NA,NA,6098,0.14,NA,NA,NA,NA,NA,NA,NA,31400,NA,NA,NA,NA,2016-01-14,42500,"","",NA,NA,NA
"1388",177860,177860,257894,1925,NA,6,4,0,4,2.25,NA,1,4842,NA,360,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Hot Water",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,17166,"Parkside","","St","","","17166 Parkside St","Detroit","MI",48221,"","Residential","Single Family Residence / Townhouse","02002836.",42.41829,-83.13132,135,50,6970,0.16,NA,NA,NA,NA,NA,0,0,56300,NA,5194,2015,NA,2016-03-07,199000,"","",NA,NA,NA
"1391",177863,177863,257898,1937,NA,4,3,0,3,NA,NA,NA,2428,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17114,"Muirland","","St","","","17114 Muirland St","Detroit","MI",48221,"","Residential","SingleFamily","",42.417583,-83.133605,NA,NA,6969,0.16,NA,NA,NA,NA,NA,NA,NA,84600,NA,NA,NA,NA,2016-02-04,163000,"","",NA,NA,NA
"1392",177864,177864,257899,1982,NA,3,2,0,2,NA,NA,NA,7882,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17126,"Fairfield","","St","","","17126 Fairfield St","Detroit","MI",48221,"","Residential","SingleFamily","",42.417705,-83.134849,NA,NA,6969,0.16,NA,NA,NA,NA,NA,NA,NA,90200,NA,NA,NA,NA,2016-07-08,3e+05,"","",NA,NA,NA
"1394",177866,177866,257901,1935,NA,5,4,0,4,NA,NA,NA,3900,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17607,"Wildemere","","St","","","17607 Wildemere St","Detroit","MI",48221,"","Residential","SingleFamily","",42.422565,-83.133354,NA,NA,6969,0.16,NA,NA,NA,NA,NA,NA,NA,42600,NA,NA,NA,NA,2016-05-27,325500,"","",NA,NA,NA
"1395",177867,177867,257902,1935,NA,4,3,0,3,NA,NA,NA,3500,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,18004,"Birchcrest","","Dr","","","18004 Birchcrest Dr","Detroit","MI",48221,"","Residential","SingleFamily","",42.42279,-83.136375,NA,NA,7840,0.18,NA,NA,NA,NA,NA,NA,NA,127000,NA,NA,NA,NA,2016-03-17,142000,"","",NA,NA,NA
"1397",177869,177869,257904,1938,NA,3,2,0,2,NA,NA,NA,2500,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17576,"Oak","","Dr","","","17576 Oak Dr","Detroit","MI",48221,"","Residential","SingleFamily","",42.422096,-83.137745,NA,NA,7840,0.18,NA,NA,NA,NA,NA,NA,NA,93600,NA,NA,NA,NA,2016-09-14,160000,"","",NA,NA,NA
"1400",178184,178184,258226,1928,NA,3,1.5,1,1,NA,NA,NA,983,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14802,"Ardmore","","St","","","14802 Ardmore St","Detroit","MI",48227,"","Residential","SingleFamily","",42.397243,-83.183944,NA,NA,4792,0.11,NA,NA,NA,NA,NA,NA,NA,25600,NA,NA,NA,NA,2016-03-03,29900,"","",NA,NA,NA
"1401",178185,178185,258227,1927,NA,4,1,0,1,NA,NA,NA,1200,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14883,"Cruse","","St","","","14883 Cruse St","Detroit","MI",48227,"","Residential","SingleFamily","",42.398365,-83.183509,NA,NA,4792,0.11,NA,NA,NA,NA,NA,NA,NA,10680,NA,NA,NA,NA,2016-04-22,47000,"","",NA,NA,NA
"1404",185045,185045,265310,1955,NA,3,1,0,1,NA,NA,NA,1233,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,19975,"Wisconsin","","St","","","19975 Wisconsin St","Detroit","MI",48221,"","Residential","SingleFamily","",42.439704,-83.15818,NA,NA,4573,0.105,NA,NA,NA,NA,NA,NA,NA,19800,NA,NA,NA,NA,2016-04-25,43500,"","",NA,NA,NA
"1406",185047,185047,265312,1944,NA,3,2,0,2,NA,NA,NA,1771,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,20009,"Indiana","","St","","","20009 Indiana St","Detroit","MI",48221,"","Residential","SingleFamily","",42.440124,-83.159294,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,40600,NA,NA,NA,NA,2016-02-12,22000,"","",NA,NA,NA
"1408",185049,185049,265314,1957,NA,2,1.5,1,1,NA,NA,NA,937,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,8655,"Pembroke","","Ave","","","8655 Pembroke Ave","Detroit","MI",48221,"","Residential","SingleFamily","",42.438339,-83.157798,NA,NA,3049,0.07,NA,NA,NA,NA,NA,NA,NA,22000,NA,NA,NA,NA,2016-03-29,26000,"","",NA,NA,NA
"1409",185050,185050,265315,1945,NA,3,1,0,1,NA,NA,NA,1275,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,20058,"Ohio","","St","","","20058 Ohio St","Detroit","MI",48221,"","Residential","SingleFamily","",42.440864,-83.156555,NA,NA,5662,0.13,NA,NA,NA,NA,NA,NA,NA,20200,NA,NA,NA,NA,2016-02-24,33000,"","",NA,NA,NA
"1411",185052,185052,265317,1969,NA,3,2,0,2,NA,NA,NA,1040,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,20403,"Griggs","","St","","","20403 Griggs St","Detroit","MI",48221,"","Residential","SingleFamily","",42.443301,-83.164892,NA,NA,5227,0.12,NA,NA,NA,NA,NA,NA,NA,29200,NA,NA,NA,NA,2016-07-03,20000,"","",NA,NA,NA
"1413",186565,186565,266885,1926,NA,3,1,0,1,NA,NA,NA,912,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,19185,"Cliff","","St","","","19185 Cliff St","Detroit","MI",48234,"","Residential","SingleFamily","",42.435157,-83.028816,NA,NA,4792,0.11,NA,NA,NA,NA,NA,NA,NA,28600,NA,NA,NA,NA,2016-04-27,20500,"","",NA,NA,NA
"1414",186566,186566,266886,1944,NA,2,1,0,1,NA,NA,NA,802,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,8195,"House","","St","","","8195 House St","Detroit","MI",48234,"","Residential","SingleFamily","",42.4351,-83.020111,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,24000,NA,NA,NA,NA,2016-03-03,29000,"","",NA,NA,NA
"1415",186567,186567,266887,1941,NA,3,1,0,1,NA,NA,NA,901,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,8231,"House","","St","","","8231 House St","Detroit","MI",48234,"","Residential","SingleFamily","",42.435115,-83.019454,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,39200,NA,NA,NA,NA,2016-03-03,26000,"","",NA,NA,NA
"1416",187398,187398,267746,1930,NA,4,3,0,3,NA,NA,NA,2032,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,6159,"Grayton","","St","","","6159 Grayton St","Detroit","MI",48224,"","Residential","SingleFamily","",42.414133,-82.938253,NA,NA,5662,0.13,NA,NA,NA,NA,NA,NA,NA,47200,NA,NA,NA,NA,2016-07-20,40000,"","",NA,NA,NA
"1417",187399,187399,267747,1947,NA,4,2,0,2,NA,NA,NA,1744,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5250,"Grayton","","St","","","5250 Grayton St","Detroit","MI",48224,"","Residential","SingleFamily","",42.40776,-82.933181,NA,NA,6098,0.14,NA,NA,NA,NA,NA,NA,NA,60000,NA,NA,NA,NA,2016-04-26,29000,"","",NA,NA,NA
"1418",187400,187400,267748,1936,NA,NA,2,0,2,NA,NA,NA,1460,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5760,"Bishop","","St","","","5760 Bishop St","Detroit","MI",48224,"","Residential","SingleFamily","",42.410842,-82.936575,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,2016-03-09,40000,"","",NA,NA,NA
"1419",187401,187401,267749,1937,NA,NA,2,0,2,NA,NA,NA,2288,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5084,"Yorkshire","","Rd","","","5084 Yorkshire Rd","Detroit","MI",48224,"","Residential","SingleFamily","",42.405769,-82.934448,NA,NA,4792,0.11,NA,NA,NA,NA,NA,NA,NA,49600,NA,NA,NA,NA,2016-06-27,60000,"","",NA,NA,NA
"1420",187402,187402,267750,1930,NA,2,1,0,1,NA,NA,NA,2093,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5751,"Grayton","","St","","","5751 Grayton St","Detroit","MI",48224,"","Residential","SingleFamily","",42.410937,-82.936131,NA,NA,5662,0.13,NA,NA,NA,NA,NA,NA,NA,44400,NA,NA,NA,NA,2016-01-06,64000,"","",NA,NA,NA
"1421",187403,187403,267751,1946,NA,3,1.5,1,1,NA,NA,NA,1246,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5800,"Bishop","","St","","","5800 Bishop St","Detroit","MI",48224,"","Residential","SingleFamily","",42.411315,-82.936897,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,51400,NA,NA,NA,NA,2016-03-10,32500,"","",NA,NA,NA
"1422",187404,187404,267752,1940,NA,3,2,0,2,NA,NA,NA,1532,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5801,"Audubon","","Rd","","","5801 Audubon Rd","Detroit","MI",48224,"","Residential","SingleFamily","",42.409351,-82.94226,NA,NA,6534,0.15,NA,NA,NA,NA,NA,NA,NA,42800,NA,NA,NA,NA,2016-03-17,55000,"","",NA,NA,NA
"1423",187405,187405,267753,1929,NA,3,1,0,1,NA,NA,NA,1650,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5931,"Grayton","","St","","","5931 Grayton St","Detroit","MI",48224,"","Residential","SingleFamily","",42.412134,-82.936619,NA,NA,5662,0.13,NA,NA,NA,NA,NA,NA,NA,49200,NA,NA,NA,NA,2016-05-12,69900,"","",NA,NA,NA
"1427",187409,187409,267757,1950,NA,2,1,0,1,NA,NA,NA,1010,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5815,"Guilford","","St","","","5815 Guilford St","Detroit","MI",48224,"","Residential","SingleFamily","",42.413394,-82.931457,NA,NA,5662,0.13,NA,NA,NA,NA,NA,NA,NA,37000,NA,NA,NA,NA,2016-08-29,29000,"","",NA,NA,NA
"1428",187410,187410,267758,1925,NA,3,2.5,1,2,NA,NA,NA,1479,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5572,"Audubon","","Rd","","","5572 Audubon Rd","Detroit","MI",48224,"","Residential","SingleFamily","",42.40755,-82.940204,NA,NA,5662,0.13,NA,NA,NA,NA,NA,NA,NA,47800,NA,NA,NA,NA,2016-04-04,70600,"","",NA,NA,NA
"1430",187412,187412,267760,1929,NA,3,1,0,1,NA,NA,NA,1456,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5520,"Kensington","","Ave","","","5520 Kensington Ave","Detroit","MI",48224,"","Residential","SingleFamily","",42.407825,-82.937171,NA,NA,5663,0.13,NA,NA,NA,NA,NA,NA,NA,46200,NA,NA,NA,NA,2016-03-02,34000,"","",NA,NA,NA
"1431",187413,187413,267761,1936,NA,4,1.5,1,1,NA,NA,NA,1961,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,16731,"Chandler Park","","Dr","","","16731 Chandler Park Dr","Detroit","MI",48224,"","Residential","SingleFamily","",42.409969,-82.936882,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,49400,NA,NA,NA,NA,2016-04-01,44000,"","",NA,NA,NA
"1434",187416,187416,267764,1930,NA,4,1,0,1,NA,NA,NA,1106,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5541,"Grayton","","St","","","5541 Grayton St","Detroit","MI",48224,"","Residential","SingleFamily","",42.409034,-82.934844,NA,NA,5662,0.13,NA,NA,NA,NA,NA,NA,NA,43200,NA,NA,NA,NA,2016-04-25,32000,"","",NA,NA,NA
"1435",187417,187417,267765,1928,NA,4,1.5,1,1,NA,NA,NA,1705,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5245,"Yorkshire","","Rd","","","5245 Yorkshire Rd","Detroit","MI",48224,"","Residential","SingleFamily","",42.406661,-82.935836,NA,NA,5663,0.13,NA,NA,NA,NA,NA,NA,NA,58000,NA,NA,NA,NA,2016-04-04,55000,"","",NA,NA,NA
"1436",187418,187418,267766,1936,NA,3,1,0,1,NA,NA,NA,1550,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,12125,"Outer","E","Dr","","","12125 E Outer Dr","Detroit","MI",48224,"","Residential","SingleFamily","",42.407299,-82.938278,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,25800,NA,NA,NA,NA,2016-04-12,32000,"","",NA,NA,NA
"1437",187419,187419,267767,1931,NA,3,2,0,2,NA,NA,NA,1400,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5295,"Harvard","","Rd","","","5295 Harvard Rd","Detroit","MI",48224,"","Residential","SingleFamily","",42.408435,-82.93301,NA,NA,6098,0.14,NA,NA,NA,NA,NA,NA,NA,40600,NA,NA,NA,NA,2016-02-10,50000,"","",NA,NA,NA
"1438",187420,187420,267768,1938,NA,3,2,0,2,NA,NA,NA,1751,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5210,"Bishop","","St","","","5210 Bishop St","Detroit","MI",48224,"","Residential","SingleFamily","",42.406868,-82.933941,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,54800,NA,NA,NA,NA,2016-05-09,36500,"","",NA,NA,NA
"1440",187847,187847,268224,1948,NA,4,2,0,2,NA,NA,NA,1324,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,6326,"Outer","W","Dr","","","6326 W Outer Dr","Detroit","MI",48235,"","Residential","SingleFamily","",42.420452,-83.186935,NA,NA,10454,0.24,NA,NA,NA,NA,NA,NA,NA,44200,NA,NA,NA,NA,2016-04-20,24000,"","",NA,NA,NA
"1442",187849,187849,268226,1939,NA,3,1,0,1,NA,NA,NA,1500,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,16903,"Strathmoor","","St","","","16903 Strathmoor St","Detroit","MI",48235,"","Residential","SingleFamily","",42.415784,-83.188611,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,39400,NA,NA,NA,NA,2016-04-28,56050,"","",NA,NA,NA
"1443",187850,187850,268227,1941,NA,4,1,0,1,NA,NA,NA,1066,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17555,"Strathmoor","","St","","","17555 Strathmoor St","Detroit","MI",48235,"","Residential","SingleFamily","",42.421027,-83.18876,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,39400,NA,NA,NA,NA,2016-03-30,50000,"","",NA,NA,NA
"1444",187851,187851,268228,1929,NA,4,2,0,2,NA,NA,NA,2100,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17315,"Mark Twain","","St","","","17315 Mark Twain St","Detroit","MI",48235,"","Residential","SingleFamily","",42.418594,-83.187553,NA,NA,6534,0.15,NA,NA,NA,NA,NA,NA,NA,41800,NA,NA,NA,NA,2016-04-15,50000,"","",NA,NA,NA
"1445",187852,187852,268229,1939,NA,3,1,0,1,NA,NA,NA,1260,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,16634,"Marlowe","","St","","","16634 Marlowe St","Detroit","MI",48235,"","Residential","SingleFamily","",42.413349,-83.190139,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,32600,NA,NA,NA,NA,2016-04-07,27000,"","",NA,NA,NA
"1452",187859,187859,268236,1925,NA,3,1,0,1,NA,NA,NA,1180,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,16245,"Marlowe","","St","","","16245 Marlowe St","Detroit","MI",48235,"","Residential","SingleFamily","",42.411102,-83.190734,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,13400,NA,NA,NA,NA,2016-06-17,25000,"","",NA,NA,NA
"1455",193006,193006,273572,1939,NA,3,1.5,1,1,NA,NA,NA,850,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,16918,"Griggs","","St","","","16918 Griggs St","Detroit","MI",48221,"","Residential","SingleFamily","",42.416107,-83.163123,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,39200,NA,NA,NA,NA,2016-02-18,24900,"","",NA,NA,NA
"1456",193007,193007,273573,1943,NA,3,1,0,1,NA,NA,NA,1249,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,18259,"Pinehurst","","St","","","18259 Pinehurst St","Detroit","MI",48221,"","Residential","SingleFamily","",42.42498,-83.167483,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,39000,NA,NA,NA,NA,2016-02-18,26000,"","",NA,NA,NA
"1457",193008,193008,273574,1950,NA,3,1,0,1,NA,NA,NA,1008,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,18226,"Griggs","","St","","","18226 Griggs St","Detroit","MI",48221,"","Residential","SingleFamily","",42.424613,-83.163558,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,32500,NA,NA,NA,NA,2016-01-11,64880,"","",NA,NA,NA
"1461",193012,193012,273579,1928,NA,NA,2,0,2,NA,NA,NA,1957,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17181,"Kentucky","","St","","","17181 Kentucky St","Detroit","MI",48221,"","Residential","SingleFamily","",42.418178,-83.159461,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,32200,NA,NA,NA,NA,2016-03-22,25000,"","",NA,NA,NA
"1462",193013,193013,273580,1948,NA,3,1.5,1,1,NA,NA,NA,1390,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17380,"Pinehurst","","St","","","17380 Pinehurst St","Detroit","MI",48221,"","Residential","SingleFamily","",42.419746,-83.166618,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,33400,NA,NA,NA,NA,2016-02-03,21000,"","",NA,NA,NA
"1464",193015,193015,273582,1929,NA,3,1.5,1,1,NA,NA,NA,1628,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,18035,"Ilene","","St","","","18035 Ilene St","Detroit","MI",48221,"","Residential","SingleFamily","",42.422855,-83.163002,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,41600,NA,NA,NA,NA,2016-02-24,50000,"","",NA,NA,NA
"1465",193016,193016,273583,1940,NA,3,1.5,1,1,NA,NA,NA,1582,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17531,"Cherrylawn","","St","","","17531 Cherrylawn St","Detroit","MI",48221,"","Residential","SingleFamily","",42.421142,-83.155242,NA,NA,4792,0.11,NA,NA,NA,NA,NA,NA,NA,2600,NA,NA,NA,NA,2016-05-31,76000,"","",NA,NA,NA
"1467",193324,193324,273893,1970,NA,3,1,0,1,NA,NA,NA,1366,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,18677,"Murray Hill","","St","","","18677 Murray Hill St","Detroit","MI",48235,"","Residential","SingleFamily","",42.427791,-83.20861,NA,NA,4792,0.11,NA,NA,NA,NA,NA,NA,NA,35800,NA,NA,NA,NA,2016-03-14,39000,"","",NA,NA,NA
"1468",193325,193325,273894,1940,NA,2,1,0,1,NA,NA,NA,923,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,18263,"Asbury","","Park","","","18263 Asbury Park","Detroit","MI",48235,"","Residential","SingleFamily","",42.423935,-83.209594,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,30000,NA,NA,NA,NA,2016-04-19,31000,"","",NA,NA,NA
"1469",193326,193326,273895,1941,NA,2,1.5,1,1,NA,NA,NA,728,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,18245,"Fenmore","","St","","","18245 Fenmore St","Detroit","MI",48235,"","Residential","SingleFamily","",42.423534,-83.218139,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,24400,NA,NA,NA,NA,2016-01-11,28500,"","",NA,NA,NA
"1471",193328,193328,273897,1940,NA,2,2,0,2,1,NA,1,800,768,NA,"","Brick","","","Single Family",NA,NA,NA,NA,"","",NA,"","Forced Air",NA,NA,"",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,18660,"Lindsay","","St","","","18660 Lindsay St","Detroit","MI",48235,"","Residential","Single Family Residence / Townhouse","22066902.",42.42741,-83.21336,135,44,6098,0.14,NA,NA,NA,NA,NA,0,0,11800,NA,1278,2015,NA,2016-06-03,29900,"","",NA,NA,NA
"1473",193701,193701,274277,1939,NA,3,1.5,1,1,NA,NA,NA,818,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,19141,"Mansfield","","St","","","19141 Mansfield St","Detroit","MI",48235,"","Residential","SingleFamily","",42.43098,-83.20652,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,31800,NA,NA,NA,NA,2016-02-03,54500,"","",NA,NA,NA
"1474",193702,193702,274278,1947,NA,3,1,0,1,NA,NA,NA,1264,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,18204,"Fenmore","","St","","","18204 Fenmore St","Detroit","MI",48235,"","Residential","SingleFamily","",42.423004,-83.217483,NA,NA,5227,0.12,NA,NA,NA,NA,NA,NA,NA,32000,NA,NA,NA,NA,2016-03-03,20050,"","",NA,NA,NA
"1484",197604,197604,278360,1938,NA,3,1,0,1,NA,NA,NA,1000,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,11541,"College","","St","","","11541 College St","Detroit","MI",48205,"","Residential","SingleFamily","",42.416061,-83.001441,NA,NA,5227,0.12,NA,NA,NA,NA,NA,NA,NA,22352,NA,NA,NA,NA,2016-04-08,37998,"","",NA,NA,NA
